Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
livJ	b3460	947971	P0AD96	JW3425	branched chain amino acid ABC transporter - periplasmic binding protein	Basal machinery
livK	b3458	947964	P04816	JW3423	leucine ABC transporter - periplasmic binding protein	Basal machinery
livM	b3456	947966	P22729	JW3421	branched chain amino acid transporter - membrane subunit	Basal machinery
lldD	b3605	948121	P33232	JW3580,lctD	L-lactate dehydrogenase	52
lldP	b3603	948114	P33231	lctP,JW3578	(R)-lactate / (S)-lactate / glycolate:H+ symporter LldP	52
lldR	b3604	948122	P0ACL7	JW3579,lctR	LldR transcriptional repressor	52
lnt	b0657	946201	P23930	JW0654,cutE	apolipoprotein N-acyltransferase	Basal machinery
loiP	b2936	945173	P25894	JW2903,yggG	outer membrane metallopeptidase	Basal machinery
lolA	b0891	948989	P61316	lplA,JW0874,yzzV	periplasmic chaperone, effects translocation of lipoproteins from inner membrane to outer	Basal machinery
lon	b0439	945085	P0A9M0	muc,JW0429,deg,capR,lopA	Lon	Basal machinery
lpd	b0116	944854	P0A9P0	lpdA,JW0112	E3 monomer	8.8
lptA	b3200	947920	P0ADV1	JW3167,yhbN	LptA	Basal machinery
lptB	b3201	947725	P0A9V1	yhbG,JW3168	LptB	Basal machinery
lptC	b3199	947722	P0ADV9	JW3166,yrbK	LptC	Basal machinery
lptD	b0054	945011	P31554	imp,ostA,yabG,JW0053	outer membrane lipopolysaccharide transport and assembly complex - LptD subunit	Basal machinery
lpxA	b0181	944849	P0A722	JW0176	LpxA	Basal machinery
lpxB	b0182	944838	P10441	JW0177,pgsB	LpxB	Basal machinery
lpxC	b0096	944816	P0A725	envA,asmB,JW0094	UDP-3-O-acyl-N-acetylglucosamine deacetylase	8.8
lpxD	b0179	944882	P21645	JW0174,firA,omsA		Basal machinery
lpxP	b2378	946847	P0ACV2	JW2375,ddg	palmitoleoyl acyltransferase	Basal machinery
lrhA	b2289	946769	P36771	genR,JW2284	LrhA DNA-binding transcriptional dual regulator	8.1
lrp	b0889	949051	P0ACJ0	alsB,oppI,ihb,livR,JW0872	Lrp transcriptional dual regulator	Global regulator
lspA	b0027	944800	P00804	lsp,JW0025	prolipoprotein signal peptidase II	Basal machinery
lsrA	b1513	945680	P77257	ydeX,JW1506,ego	AI-2 ABC transporter - ATP binding subunit	60
lsrB	b1516	945418	P76142	yneA,JW1509	Autoinducer-2 ABC transporter - periplasmic binding protein	60
lsrC	b1514	946105	P77672	ydeY,JW1507	Autoinducer-2 ABC transporter - membrane subunit	60
lsrD	b1515	946264	P0AFS1	ydeZ,JW1508	Autoinducer-2 ABC transporter - membrane subunit	60
lsrF	b1517	946071	P76143	JW1510,yneB	predicted class I aldolase	60
lsrG	b1518	946073	P64461	yneC,JW1511	Autoinducer 2-degrading protein	60
lsrK	b1511	946069	P77432	ydeV,JW1504	autoinducer-2 kinase	60
lsrR	b1512	946070	P76141	JW1505,ydeW	LsrR	60
luxS	b2687	947168	P45578	JW2662,ygaG	<i>S</i>-ribosylhomocysteine lyase	8.15
lysA	b2838	947313	P00861	JW2806	LysA	29
lysC	b4024	948531	P08660	apk,JW3984	LysC	29
lysO						8.19
lysP	b2156	946667	P25737	JW2143,cadR	lysine:H<sup>+</sup> symporter	29
lysU	b4129	948645	P0A8N5	JW4090	lysyl-tRNA synthetase	Basal machinery
lyx	b3580			xylK,yiaP,sgbK,JW3552,lyxK		Basal machinery
malE	b4034	948538	P0AEX9	JW3994	maltose ABC transporter - periplasmic binding protein	42
malF	b4033	948532	P02916	JW3993	maltose ABC transporter - membrane subunit	42
malG	b4032	948530	P68183	JW3992	maltose ABC transporter - membrane subunit	42
malI	b1620	947104	P18811	JW1612	MalI DNA-binding transcriptional repressor	49
malK	b4035	948537	P68187	JW3995	maltose ABC transporter - ATP binding subunit	42
malM	b4037	948547	P03841	JW3997,molA	maltose regulon periplasmic protein	42
malP	b3417	947922	P00490	JW5689	maltodextrin phosphorylase monomer	42
malQ	b3416	947923	P15977	JW3379,malA	amylomaltase/amylomaltase/amylomaltase	42
malS	b3571	948088	P25718	JW3543	&alpha;-amylase	Basal machinery
malT	b3418	947921	P06993	malA,JW3381	MalT transcriptional activator	42
malX	b1621	946009	P19642	JW1613	MalX PTS permease	49
malY	b1622	945937	P23256	JW1614	bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon	49
manA	b1613	944840	P00946	pmi,JW1605	mannose-6-phosphate isomerase	Basal machinery
manX	b1817	946334	P69797	gptB,ptsL,JW1806	mannose PTS permease - ManX subunit	Basal machinery
manY	b1818	946332	P69801	JW1807,pel,ptsP	mannose PTS permease - ManY subunit	Basal machinery
manZ	b1819	946342	P69805	ptsM,gptB,JW1808	mannose PTS permease - ManZ subunit	Basal machinery
marA	b1531	947613	P0ACH5	JW5249	MarA DNA-binding transcriptional dual regulator	8.2
marB	b1532	946184	P31121	JW1525	multiple antibiotic resistance protein	8.2
marR	b1530	945825	P27245	soxQ,inaR,JW5248,cfxB	MarR transcriptional repressor	8.2
mazE	b2783	947245	P0AE72	chpR,chpAI,JW2754	MazE antitoxin of the MazF-MazE toxin-antitoxin system	8.3
mazF	b2782	947252	P0AE70	chpAK,chpA,JW2753	MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity	8.3
mazG	b2781	947254	P0AEY3	JW2752	nucleoside triphosphate pyrophosphohydrolase	8.3
mcbA	b0806	947523	P0AAX6	ybiM,JW5106	protein involved in colanic acid production	10
mcbR	b1450	946014	P76114	yncC,JW1445	McbR DNA-binding transcriptional dual regulator	10
mdh	b3236	947854	P61889	JW3205	malate dehydrogenase	28
mdtA	b2074	946604	P76397	JW5338,yegM	MdtABC-TolC multidrug efflux transport system - putative membrane fusion protein	26
mdtB	b2075	946606	P76398	yegN,JW2060	MdtABC-TolC multidrug efflux system - membrane subunit	26
mdtC	b2076	946608	P76399	JW2061,yegO	MdtABC-TolC multidrug efflux system - membrane subunit	26
mdtD	b2077	946601	P36554	JW2062,yegB	predicted transport protein MdtD	26
mdtE	b3513	948031	P37636	yhiU,JW3481	MdtEF-TolC multidrug efflux transport system - membrane fusion protein	8.1
mdtF	b3514	948030	P37637	yhiV,JW3482	MdtEF-TolC multidrug efflux transport system - permease subunit	8.1
melA	b4119	948636	P06720	JW4080,mel-7	&alpha;-galactosidase monomer	23
melB	b4120	948635	P02921	mel-4,JW4081	melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter	23
melR	b4118	948637	P0ACH8	JW4079	MelR DNA-binding transcriptional dual regulator	23
menA	b3930	948418	P32166	JW3901,yiiW	1,4-dihydroxy-2-naphthoate octaprenyltransferase	Basal machinery
metA	b4013	948513	P07623	JW3973	homoserine <i>O</i>-succinyltransferase	8.6
metB	b3939	948434	P00935	JW3910	MetB	Basal machinery
metC	b3008	946240	P06721	JW2975	MetC	8.6
metE	b3829	948323	P25665	JW3805	cobalamin-independent homocysteine transmethylase	8.6
metF	b3941	948432	P0AEZ1	JW3913	5,10-methylenetetrahydrofolate reductase	8.6
metG	b2114	946643	P00959	JW2101	methionyl-tRNA synthetase	Basal machinery
metH	b4019	948522	P13009	JW3979	cobalamin-dependent methionine synthase	Basal machinery
metI	b0198	944894	P31547	yaeE,JW0194	L-methionine / D-methionine ABC transporter - membrane subunit	8.12
metJ	b3938	948435	P0A8U6	JW3909	MetJ transcriptional repressor	8.6
metK	b2942	945389	P0A817	metX,JW2909	methionine adenosyltransferase	Basal machinery
metL	b3940	948433	P00562	metM,JW3911	MetL	Basal machinery
metN	b0199	944896	P30750	abc,JW0195	L-methionine / D-methionine ABC transporter - ATP binding subunit	8.12
metQ	b0197	944893	P28635	yaeC,JW0193	L-methionine / D-methionine ABC transporter - periplasmic binding protein	8.12
metR	b3828	948310	P0A9F9	JW3804	MetR	8.6
mfd	b1114	945681	P30958	JW1100	transcription-repair coupling factor	Basal machinery
mglA	b2149	949036	P0AAG8	JW2136	galactose ABC transporter - ATP binding subunit	Basal machinery
mglB	b2150	949041	P0AEE5	JW2137	galactose ABC transporter - periplasmic binding protein	Basal machinery
mglC	b2148	949039	P23200	JW2135	galactose ABC transporter - membrane subunit	Basal machinery
mgrB	b1826	946351	P64512	yobG,JW1815	negative feedback regulator of the PhoQP system	8.1
mgtA	b4242	948778	P0ABB8	JW4201,corB,mgt	Mg<sup>2+</sup> / Ni<sup>2+</sup> transporting ATPase	8.1
mgtL	b4702	9797237	E2JKY7	JW4200.1	predicted leader peptide	8.1
mhpA	b0347	945197	P77397	JW0338	3-(3-hydroxyphenyl)propionate 2-hydroxylase	72
mhpB	b0348	945047	P0ABR9	JW0339	3-(2,3-dihydroxyphenyl)propionate dioxygenase monomer	72
mhpC	b0349	944954	P77044	JW0340	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	72
mhpD	b0350	944768	P77608	JW0341		72
mhpE	b0352	945012	P51020	JW0343	4-hydroxy-2-ketovalerate aldolase	72
mhpF	b0351	945008	P77580	JW0342,mhpE	acetaldehyde dehydrogenase 2	72
mhpR	b0346	945938	P77569	JW0337	MhpR transcriptional activator	72
miaA	b4171	948690	P16384	trpX,JW4129	tRNA(i<sup>6</sup>A37) synthase	Basal machinery
micA		2847697			MicA	Basal machinery
micL						Basal machinery
mioC	b3742	948249	P03817	JW3720,yieB	flavoprotein involved in biotin synthesis	8.8
mipA	b1782	946301	P0A908	JW1771,yeaF	scaffolding protein that interacts with murein polymerase and murein hydrolase	Basal machinery
mlc	b1594	945510	P50456	JW1586	Mlc DNA-binding transcriptional repressor	8.28
mlrA	b2127	949029	P33358	yehV,JW2115	MlrA DNA binding transcriptional activator	8.1
mngB	b0732	945359	P54746	JW0721,ybgG	&alpha;-mannosidase	34
mngR	b0730	945371	P13669	ybgB,JW0719,g30,farR	MngR	34
mnmG	b3741	948248	P0A6U3	trmF,JW3719,gidA	protein involved in modification of U34 in tRNA	Basal machinery
mntH	b2392	946899	P0A769	yfeP,JW2388	Mn<sup>2+</sup> / Fe<sup>2+</sup>: H+ symporter MntH	Intermodular
mntP	b1821	946341	P76264	JW5830,yebN	manganese export protein	Basal machinery
mntR	b0817	945437	P0A9F1	ybiQ,JW0801	MntR	8.13
mntS	b4705	14678509		rybA,JW0800.1	small protein MntS	Basal machinery
moaA	b0781	945392	P30745	narA,chlA1,bisA,JW0764,chlA	molybdopterin biosynthesis protein A	8.16
moaB	b0782	945396	P0AEZ9	JW0765,chlA2	MoaB protein	8.16
moaC	b0783	945397	P0A738	JW0766,chlA3	MoaC monomer	8.16
moaD	b0784	945398	P30748	JW0767,chlA4,chlM	molybdopterin synthase small subunit	8.16
moaE	b0785	945399	P30749	JW0768,chlA5	molybdopterin synthase large subunit	8.16
modA	b0763	945364	P37329	JW0746	molybdate ABC transporter - periplasmic binding protein	8.16
modB	b0764	945361	P0AF01	chlJ,JW0747	molybdate ABC transporter - membrane subunit	8.16
modC	b0765	945362	P09833	JW0748,narD,chlD	molybdate ABC transporter - ATP binding subunit	8.16
modE	b0761	945366	P0A9G8	modR,JW0744	ModE	8.16
moeA	b0827	945454	P12281	narE,bisB,chlE,JW0811	molybdopterin molybdenumtransferase	Basal machinery
moeB	b0826	945452	P12282	chlN,JW0810	molybdopterin-synthase adenylyltransferase	Basal machinery
molR_1					molybdate metabolism regulator (interrupted)	Basal machinery
motA	b1890	947564	P09348	flaJ,JW1879	MotA protein, proton conductor component of motor; no effect on switching	Basal machinery
motB	b1889	946402	P0AF06	JW1878	MotB protein, enables flagellar motor rotation, linking torque machinery to cell wall	Basal machinery
mpaA	b1326	945969	P0ACV6	ycjI,JW1319	murein tripeptide amidase A	12
mprA	b2684	945282	P0ACR9	JW2659,emrR	MprA	27
mqsA	b3021	945814	Q46864	JW2989,ygiT	MqsA antitoxin of the MqsRA toxin-antitoxin system and DNA-binding transcriptional repressor	8.1
mqsR	b3022	947500	Q46865	JW2990,ygiU	mRNA interferase, toxin of the MqsR-MqsA toxin-antitoxin system	8.1
mraY	b0087	944814	P0A6W3	JW0085,murX	phospho-N-acetylmuramoyl-pentapeptide transferase	8.8
mraZ	b0081	944810	P22186	yabB,JW0079	MraZ DNA-binding transcriptional repressor	8.8
mreB	b3251	948588	P0A9X4	JW3220,rodY,envB	MreB	Basal machinery
mreC	b3250	947655	P16926	JW3219	MreC	Basal machinery
mreD	b3249	947756	P0ABH4	JW3218	MreD	Basal machinery
mrp	b2113	946627	P0AF08	JW2100	putative ATPase	Basal machinery
mscM	b4159	948676	P39285	yjeP,JW4120	mechanosensitive channel of miniconductance McsM monomer	Basal machinery
msrB	b1778	947188	P0A746	JW1767,yeaA	methionine sulfoxide reductase B	Basal machinery
msyB	b1051	945612	P25738	JW1039	acidic protein that suppresses heat sensitivity of a <i>secY</i> mutant	Basal machinery
mtlA	b3599	948118	P00550	JW3573	MtlA	8.1
mtlD	b3600	948117	P09424	JW3574	mannitol-1-phosphate 5-dehydrogenase	8.1
mtlR	b3601	948116	P0AF10	JW3575	MtlR DNA-binding transcriptional repressor	8.1
mtnN	b0159			JW0155,pfs,yadA,mtn		Basal machinery
mtr	b3161	947675	P0AAD2	JW3130	tryptohan / indole:H+ symporter Mtr	12
murC	b0091	946153	P17952	JW0089	UDP-<i>N</i>-acetylmuramate-alanine ligase	8.8
murD	b0088	944818	P14900	JW0086	UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase	8.8
murE	b0085	944791	P22188	JW0083	UDP-<i>N</i>-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase	8.8
murF	b0086	944813	P11880	mra,JW0084	D-alanyl-D-alanine-adding enzyme	8.8
murG	b0090	946321	P17443	JW0088	N-acetylglucosaminyl transferase	8.8
murI	b3967	948467	P22634	glr,JW5550,dga,yijA	glutamate racemase	8.1
murP	b2429	946894	P77272	yfeV,JW2422	N-acetylmuramic acid PTS permease / anhydro-N-acetylmuramic acid permease	41
murQ	b2428	946893	P76535	yfeU,JW2421	<i>N</i>-acetylmuramic acid 6-phosphate etherase	41
murR	b2427	946568	P77245	JW2420,yfeT	MurR	41
mutL	b4170	948691	P23367	JW4128	MutL	Basal machinery
mutM	b3635	946765	P05523	fpg,JW3610	formamidopyrimidine DNA glycosylase	Basal machinery
mutS	b2733	947206	P23909	JW2703,fdv	MutS	Basal machinery
mzrA	b3096	947619	P42615	ecfM,JW3067,yqjB	MzrA	Basal machinery
nac	b1988	946501	Q47005	JW1967	Nac DNA-binding transcriptional dual regulator	56
nadB	b2574	947049	P10902	nicB,JW2558	L-aspartate oxidase	55
nadE	b1740	946946	P18843	efg,JW1729,ntrL	NadE	Basal machinery
nadR	b4390	948911	P27278	JW5800,nadI	NadR DNA-binding transcriptional repressor and NMN adenylyltransferase	55
nagA	b0677	945289	P0AF18	JW0663	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	Intermodular
nagB	b0678	945290	P0A759	glmD,JW0664	glucosamine-6-phosphate deaminase	8.7
nagC	b0676	945285	P0AF20	nagR,JW0662	NagC DNA-binding transcriptional dual regulator	8.7
nagE	b0679	945292	P09323	JW0665,pstN	NagE	8.7
nanA	b3225	947742	P0A6L4	JW3194,npl	<i>N</i>-acetylneuraminate lyase	8.9
nanC	b4311	946843	P69856	JW5778,yjhA	N-acetylneuraminic acid outer membrane channel	Intermodular
nanE	b3223	947745	P0A761	JW3192,yhcJ	predicted <i>N</i>-acetylmannosamine-6-phosphate epimerase	8.9
nanK	b3222	947757	P45425	yhcI,JW5538	<i>N</i>-acetylmannosamine kinase	8.9
nanM	b4310	949106	P39371	JW5777,yjhT	<i>N</i>-acetylneuraminate mutarotase	Intermodular
nanR	b3226	945468	P0A8W0	JW3195,yhcK	NanR DNA-binding transcriptional dual regulator	8.9
nanS	b4309	948835	P39370	yjhS,JW4272	probable 9-<i>O</i>-acetyl-<i>N</i>-acetylneuraminate esterase	Intermodular
nanT	b3224	947740	P41036	JW3193	N-acetylneuraminate:H<sup>+</sup> symporter	8.9
napA	b2206	947093	P33937	yojD,JW2194,yojC,yojE	large subunit of periplasmic nitrate reductase, molybdoprotein	Intermodular
napB	b2203	946698	P0ABL3	yejY,JW5367	subunit of periplasmic nitrate reductase, cytochrome c<SUB>550</SUB> protein	Intermodular
napC	b2202	946706	P0ABL5	yejX,JW2190	periplasmic nitrate reductase, cytochrome c protein	Intermodular
napD	b2207	945187	P0A9I5	yojF,JW2195	signal peptide-binding chaperone for NapA	Intermodular
napF	b2208	946813	P0AAL0	JW2196,yojG	ferredoxin-type protein	Intermodular
napG	b2205	945544	P0AAL3	yojA,yojB,JW2193	ferredoxin-type protein	Intermodular
napH	b2204	945984	P33934	JW2192,yejZ	ferredoxin-type protein	Intermodular
narG	b1224	945782	P09152	narC,JW1215,bisD	nitrate reductase A, &alpha; subunit	Basal machinery
narH	b1225	945780	P11349	JW1216	nitrate reductase A, &beta; subunit	Basal machinery
narI	b1227	945808	P11350	chlI,JW1218	nitrate reductase A, &gamma; subunit	Basal machinery
narJ	b1226	945807	P0AF26	JW1217	molybdenum cofactor assembly chaperone subunit (&delta; subunit) of nitrate reductase 1	Basal machinery
narK	b1223	945783	P10903	JW1214	nitrate:nitrite antiporter NarK	Basal machinery
narL	b1221	945795	P0AF28	frdR,JW1212	NarL	Global regulator
narP	b2193	949081	P31802	JW2181	NarP	8.11
narV	b1465	946029	P0AF32	JW1460	nitrate reductase Z, &gamma; subunit	Basal machinery
narW	b1466	946032	P19317	JW1461	NarW, probable private chaperone for NarZ nitrate reductase subunit	Basal machinery
narX	b1222	945788	P0AFA2	JW1213,narR	NarX	8.16
ndh	b1109	946792	P00393	JW1095	NADH:ubiquinone oxidoreductase II	8.8
nemA	b1650	946164	P77258	ydhN,JW1642	N-ethylmaleimide reductase, FMN-linked	8.1
nemR	b1649	946166	P67430	ydhM,JW5874	NemR DNA-binding transcriptional repressor	8.1
nfo	b2159	946669	P0A6C1	JW2146	endonuclease IV	Basal machinery
nfsA	b0851	945483	P17117	mdaA,mda18,JW0835,ybjB	NADPH nitroreductase	Intermodular
nfsB	b0578	945778	P38489	JW0567,ntr,dprA,nfnB,nfsI	NfsB monomer	8.2
nfuA	b3414	947925	P63020	yhgI,gntY,JW3377	iron-sulfur cluster scaffold protein	8.22
nhaA	b0019	944758	P13738	ant,JW0018	NhaA	8.27
nhaR	b0020	944757	P0A9G2	JW0019,antO	NhaR transcriptional activator	8.27
nikA	b3476	947981	P33590	JW3441	nickel ABC transporter - periplasmic binding protein	62
nikB	b3477	947986	P33591	JW3442	nickel ABC transporter - membrane subunit	62
nikC	b3478	947990	P0AFA9	JW3443	nickel ABC transporter - membrane subunit	62
nikD	b3479	947989	P33593	JW3444	nickel ABC transporter - ATP binding subunit	62
nikE	b3480	947987	P33594	JW3445	nickel ABC transporter - ATP binding subunit	62
nikR	b3481	947995	P0A6Z6	yhhG,JW3446	NikR DNA-binding transcriptional repressor, Ni-binding	62
nimR						7
nimT						7
nirB	b3365	947868	P08201	JW3328	nitrite reductase, large subunit	8.11
nirC	b3367	2847757	P0AC26	JW3330	nitrite transporter NirC	8.11
nirD	b3366	947881	P0A9I8	JW3329	nitrite reductase, small subunit	8.11
nlpA	b3661	948175	P04846	JW3635	lipoprotein-28	8.1
nlpD	b2742	947011	P0ADA3	JW2712	NlpD divisome associated factor; activates peptidoglycan hydrolase	Basal machinery
nmpC	b0553	946786	P21420	phmA	outer membrane porin protein; locus of qsr prophage	8.1
nohA	b1548		P31061	JW1541,nohQ	Qin prophage; predicted packaging protein	Basal machinery
norR	b2709	947186	P37013	ygaA,JW5843	NorR DNA-binding transcriptional dual regulator	2
norV	b2710	948979	Q46877	ygaK,ygaJ,JW2680,flrD,ygaI	flavorubredoxin	2
norW	b2711	947088	P37596	flrR,JW2681,ygbD	NADH:flavorubredoxin reductase	2
nrdA	b2234	946612	P00452	JW2228,dnaF	ribonucleoside diphosphate reductase 1, &alpha; subunit	29
nrdB	b2235	946732	P69924	ftsB,JW2229	ribonucleoside diphosphate reductase 1, &beta; subunit, ferritin-like	29
nrdD	b4238	948755	P28903	JW4197	ribonucleoside-triphosphate reductase	29
nrdE	b2675	947155	P39452	JW2650	NrdE	29
nrdF	b2676	947149	P37146	ygaD,JW2651	NrdF	29
nrdG	b4237	948757	P0A9N8	yjgE,JW4196	NrdG	29
nrdH	b2673	947161	P0AC65	JW2648,ygaN	glutaredoxin-like protein	29
nrdI	b2674	947158	P0A772	ygaO,JW2649	flavodoxin involved in dimanganese-tyrosyl radical cofactor maintenance for ribonucleotide reductase	29
nrdR	b0413	947437	P0A8D0	JW0403,ybaD	NrdR	29
nrfA	b4070	948571	P0ABK9	JW4031	formate dependent nitrite reductase - NrfA subunit	Intermodular
nrfB	b4071	948573	P0ABL1	yjcI,JW4032	formate-dependent nitrite reductase - penta-heme cytochrome c	Intermodular
nrfC	b4072	948581	P0AAK7	JW4033,yjcJ	formate-dependent nitrite reductase, 4Fe-4S subunit	Intermodular
nrfD	b4073	948580	P32709	JW4034,yjcK	formate dependent nitrate reductase - NrfD subunit	Intermodular
nrfE	b4074	948579	P32710	yjcL,JW4035	formate-dependent nitrite reductase; possible assembly function	Intermodular
nrfF	b4075	948578	P32711	JW4036,yjcM	activator of formate-dependent nitrite reductase complex	Intermodular
nrfG	b4076	948592	P32712	JW4037,yjcN	NrfG	Intermodular
nsrR	b4178	948693	P0AF63	yjeB,JW4136	NsrR	8.1
nuoA	b2288	946764	P0AFC3	JW2283	NADH:ubiquinone oxidoreductase, membrane subunit A	Basal machinery
nuoB	b2287	946738	P0AFC7	JW5875	NADH:ubiquinone oxidoreductase, chain B	Basal machinery
nuoC	b2286	946759	P33599	nuoCD,JW5375,nuoD	NADH:ubiquinone oxidoreductase, chain CD	Basal machinery
nuoE	b2285	946746	P0AFD1	JW2280	NADH:ubiquinone oxidoreductase, chain E	Basal machinery
nuoF	b2284	946753	P31979	JW2279	NADH:ubiquinone oxidoreductase, chain F	Basal machinery
nuoG	b2283	946762	P33602	JW2278	NADH:ubiquinone oxidoreductase, chain G	Basal machinery
nuoH	b2282	946761	P0AFD4	JW2277	NADH:ubiquinone oxidoreductase, membrane subunit H	Basal machinery
nuoI	b2281	946757	P0AFD6	JW2276	NADH:ubiquinone oxidoreductase, chain I	Basal machinery
nuoJ	b2280	946756	P0AFE0	JW2275	NADH:ubiquinone oxidoreductase, membrane subunit J	Basal machinery
nuoK	b2279	947580	P0AFE4	JW2274	NADH:ubiquinone oxidoreductase, membrane subunit K	Basal machinery
nuoL	b2278	945540	P33607	JW2273	NADH:ubiquinone oxidoreductase, membrane subunit L	Basal machinery
nuoM	b2277	947731	P0AFE8	JW2272	NADH:ubiquinone oxidoreductase, membrane subunit M	Basal machinery
nuoN	b2276	945136	P0AFF0	JW2271	NADH:ubiquinone oxidoreductase, membrane subunit N	Basal machinery
nupC	b2393	946895	P0AFF2	JW2389,cru	nucleoside:H<sup>+</sup> symporter NupC	Basal machinery
nupG	b2964	946282	P0AFF4	JW2932	nucleoside:H<sup>+</sup> symporter NupG	8.35
nusA	b3169	947682	P0AFF6	JW3138	transcription termination/antitermination L factor	8.19
nusB	b0416	945054	P0A780	JW0406,ssyB	transcription antitermination protein NusB	Basal machinery
obgE	b3183	947694	P42641	obg,yhbZ,cgtA,JW3150	GTPase involved in chromosome partitioning and ribosome assembly	8.1
ogt	b1335	945853	P0AFH0	JW1329	O6-alkylguanine-DNA-alkyltransferase	Basal machinery
ompA	b0957	945571	P0A910	con,tolG,JW0940,tut	outer membrane protein A	Basal machinery
ompC	b2215	946716	P06996	JW2203,par,meoA	OmpC	8.1
ompF	b0929	945554	P02931	coa,JW0912,tolF,cmlB,cry	OmpF	8.1
ompN	b1377	946313	P77747	JW1371,ynaG	outer membrane pore protein N, non-specific	8.2
ompR	b3405	947913	P0AA16	JW3368,kmt,ompB	OmpR	8.1
ompW	b1256	945128	P0A915	JW1248,yciD	OmpW, outer membrane protein	Basal machinery
ompX	b0814	944967	P0A917	JW0799,ybiG,ompP	outer membrane protein X	Basal machinery
opgG	b1048	945005	P33136	JW1035,mdoG	periplasmic protein associated with synthesis of osmoregulated periplasmic glucans (OPGs)	Basal machinery
opgH	b1049	945624	P62517	mdoH,JW1037	membrane glycosyltransferase; synthesis of osmoregulated periplasmic glucans (OPGs)	Basal machinery
oppA	b1243	945830	P23843	JW1235	peptide ABC transporter - periplasmic binding protein	Basal machinery
oppB	b1244	945823	P0AFH2	JW1236	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	Basal machinery
oppC	b1245	945810	P0AFH6	JW1237	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	Basal machinery
oppD	b1246	945802	P76027	JW1238	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	Basal machinery
oppF	b1247	945818	P77737	JW1239	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	Basal machinery
osmB	b1283	945866	P0ADA7	JW1275	OsmB osmotically inducible lipoprotein	Basal machinery
osmC	b1482	946043	P0C0L2	JW1477	osmotically inducible peroxidase OsmC	Intermodular
osmE	b1739	945305	P0ADB1	anr,JW1728	osmotically inducible protein OsmE	Basal machinery
osmF	b2131	946681	P33362	JW2119,yehZ	OsmF	Basal machinery
osmY	b4376	948895	P0AFH8	JW4338	hyperosmotically inducible periplasmic protein	8.1
otsA	b1896	946405	P31677	JW5312	trehalose-6-phosphate synthase	Basal machinery
otsB	b1897	946406	P31678	JW1886	trehalose-6-phosphate phosphatase	Basal machinery
oxc	b2373	946845	P0AFI0	JW2370,yfdU	oxalyl-CoA decarboxylase	8.1
oxyR	b3961	948462	P0ACQ4	JW3933,mor,momR	OxyR DNA-binding transcriptional dual regulator	8.18
paaA	b1388	945833	P76077	JW1383,ydbO	ring 1,2-phenylacetyl-CoA epoxidase, monooxygenase subunit	16
paaB	b1389	947595	P76078	JW1384,ynbF	ring 1,2-phenylacetyl-CoA epoxidase subunit	16
paaC	b1390	945956	P76079	ydbP,JW1385	ring 1,2-phenylacetyl-CoA epoxidase, structural subunit	16
paaD	b1391	945959	P76080	JW5217,ydbQ	phenylacetate degradation protein	16
paaE	b1392	945962	P76081	JW1387,ydbR	ring 1,2-phenylacetyl-CoA epoxidase, reductase subunit	16
paaF	b1393	946011	P76082	ydbR,JW1388	predicted 2,3-dehydroadipyl-CoA hydratase	16
paaG	b1394	946263	P77467	JW1389,ydbT	predicted ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	16
paaH	b1395	945940	P76083	JW1390,ydbU	3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)	16
paaI	b1396	945265	P76084	JW1391,ydbV	phenylacetyl-CoA thioesterase	16
paaJ	b1397	946121	P0C7L2	JW1392,ydbW,paaE	&beta;-ketoadipyl-CoA thiolase	16
paaK	b1398	945963	P76085	JW5218	phenylacetate-CoA ligase	16
paaX	b1399	945966	P76086	JW1394,ydbY	PaaX	16
paaY	b1400	945965	P77181	JW1395,ydbZ	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase	16
paaZ	b1387	945954	P77455	JW1382,maoC,ydbN	oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	16
pabA	b3360	947873	P00903	JW3323	PabA	Basal machinery
panD	b0131	945686	P0A790	JW0127	PanD proenzyme, &pi; protein	Basal machinery
panF	b3258	947752	P16256	JW3226	pantothenate:Na<sup>+</sup> symporter	Basal machinery
patA	b3073	947120	P42588	JW5510,ygjG	putrescine aminotransferase	Basal machinery
patD	b1444	945876	P77674	JW1439,prr,dcW	&gamma;-aminobutyraldehyde dehydrogenase	56
